Jeonju Radio Star,Jeonbuk Jeonju Wansan-gu Junghwasan-dong 2-ga 778-1,Jeonju
Jeonju CreativeCenter 2nd,Jeonbuk Jeonju Wansan-gu Gyeongwondong3-ga 78-2Beonji,Seoul
Jeongseojin,Incheon Seo-gu Oryu-dong,Incheon
J Square,Busan Geumjeong-gu Jangjeon1-dong 391-3,Busan
Jeju miyerang,None,Seoul
Jeju Bluehill,Jeju Ido1-dong 1252-4,Seoul
Jeju Jazzclub Bluehill,Jejuteukbyeoljachi-do Jeju Ido1-dong 1252-4,Seoul
Jeju Cafe Seba,None,Jeju
Genius,"",None
JISAN FOREST RESORT,None,Seoul
Changwon RetroBongBong,Gyeongnam Changwon Seongsan-gu Jungang-dong 88-2,Seoul
Changwon Monk,Gyeongnam Changwon Seongsan-gu Sangnam-dong 19-7,Seoul
Channel1969,Mapo-gu Seogyo-dong 394-19,None
Cheonan DOLCE,Chungnam Cheonan Dongnam-gu Daeheung-dong 71Beonji,None
Cheonan Rock Station,Cheonan Sinbu-dong 386-4,None
Silky Straight,None,Seoul
Chunchon Space Nanum,Gangwon Chuncheon Hupyeong1-dong 711-29,None
Hanlim Univ.,"",None
Chunchon KBS,"",None
Daejeon Chungnam Univ.,"",None
Jarip bonbu,None,Seoul
Carpe Diem,None,Seoul
Casablanca Sandwich,Seoul Yongsan-gu Yongsandong2-ga 39-16,Seoul
CASIOPEA,None,Seoul
Carparelli Guitars & CAFE﻿﻿﻿,None,Seoul
Carparelli SoundLounge Gangnam Nonhyun,None,Seoul
Cafe Bitter Sweet Sound,Seoul Mapo-gu Seogyo-dong 400-2,Seoul
Cafe RIO,Seoul Mapo-gu Nogosan-dong 54-58,Seoul
Cafe Nil,None,Busan
Cafe Didida,Seoul Mapo-gu Sangsu-dong 310-14,Seoul
Cafe Rock&rock,None,Seoul
Cafe Bejjangi,Sangsu-dong 313-3,Seoul
Cafe boite,None,Seoul
Cafe ongkkel,Seoul Mapo-gu Wausanno29-gil 48-14,Seoul
Cafe youl,None,Seoul
카페 Tea&,None,Seoul
CafeBene Seonjeongreung,Seoul Gangnam-gu Yeoksam-dong 682-0[Bongeunsa-ro 326],Seoul
Cafe InU,Mapo-gu Seogyo-dong 398-16,None
COMMON PLACE,Seoul Jung-gu Chungmuro2-ga 10,Seoul
Curly Sol,Seoul Mapo-gu Sinsu-dong 81-15[Seogangno16-gil 63],Seoul
Cort Guitar Factory,Incheon Bupyeong-gu Galsan-dong 421-1[Bupyeongbuk-ro 273],Incheon
Queen Livehall,Seoul Seodaemun-gu Daehyeon-dong 104-1,Seoul
CRACK,Seoul Mapo-gu Seogyo-dong 401-6,Seoul
Club 500,"",None
Club DeepInto,Jeollabuk-do Jeonju Wansan-gu Seosin-dong 970-2,Jeonju
Club Red,Seodaemun-gu Changcheon-dong 53-25,None
Club RollingStones,Seoul Mapo-gu Donggyo-dong 185-1[Sinchon-ro 62],Seoul
BBANG,Seoul Mapo-gu Seogyo-dong  327-18,Seoul
Club ABLE,None,Seoul
Club DGBS,Seoul Seongbuk-gu Seokgwan-dong San 1-5[Hwarangno32-gil 146-20],Seoul
Club jass,None,Seoul
Club FeedBack,None,Seoul
